Trained from ResNet152,Data: OCT-normal-drusen-large,batchSize = 16,LR = 0.001,epochNum = 100,timeElapsed = 363m  42.79s
44,0.8504871129989624,0.8639224171638489,0.34460981378914796,0.32260467727801906,0.001
45,0.8377805948257446,0.8645778894424438,0.3722819761341151,0.32449458355077226,0.001
46,0.8553579449653625,0.864250123500824,0.34514971768537955,0.31919678637985477,0.001
47,0.8547226190567017,0.8666098713874817,0.34828739506474543,0.31979568154948135,0.001
48,0.8551461696624756,0.8630702495574951,0.3459287026659607,0.3218657190598426,0.001
49,0.8494282364845276,0.8617593050003052,0.3464227885982966,0.32041401373868095,0.001
50,0.8456162810325623,0.862939178943634,0.3550310149877216,0.32481754374288424,0.001
51,0.846886932849884,0.8636602163314819,0.36313941558505053,0.32000412317661947,0.001
52,0.8462516069412231,0.863856852054596,0.3581913818764212,0.3194611423268453,0.001
53,0.8303685188293457,0.8647089600563049,0.38005449123324,0.3258127029975422,0.001
54,0.8405336737632751,0.861890435218811,0.3680965424992999,0.3236984209937454,0.001
55,0.8407454490661621,0.8634635806083679,0.37469551147721875,0.31981549935740644,0.001
56,0.8583227396011353,0.8597928881645203,0.33187622364574143,0.32698985171813455,0.001
57,0.8515459895133972,0.8615626692771912,0.34076012446308784,0.32213240580591285,0.001
58,0.8477340340614319,0.864446759223938,0.3529672708262937,0.31854669903280475,0.001
59,0.8487929105758667,0.8647089600563049,0.3354526068486687,0.31801529771364606,0.001
60,0.8337569236755371,0.8651677966117859,0.38867083053652485,0.31995858588438103,0.001
61,0.8502753376960754,0.8661510348320007,0.34956129756154575,0.32046054576547534,0.001
62,0.8589580655097961,0.8651022911071777,0.3404202468374532,0.3204466628880637,0.001
63,0.8106734752655029,0.8610382676124573,0.4264639450654495,0.32155826804240334,0.001
64,0.8519695401191711,0.8657577633857727,0.3507368932685222,0.31956554566401113,0.001
65,0.847098708152771,0.8651677966117859,0.3659456786725233,0.3192453526261282,0.001
66,0.8388394713401794,0.8652989268302917,0.37117406478477505,0.32548203127088504,0.001
67,0.8634053468704224,0.8655610680580139,0.3388397007587349,0.3180080041773793,0.001
68,0.8379923701286316,0.8647089600563049,0.37393957731968414,0.32037045517531,0.001
69,0.8424396514892578,0.8628736138343811,0.3740162171079465,0.32042210449879244,0.001
70,0.7928844094276428,0.8620215058326721,0.46890268751886727,0.3209635487356671,0.001
71,0.834392249584198,0.8673309087753296,0.3879363486154359,0.3151424410506325,0.001
72,0.8261330127716064,0.8664787411689758,0.3946257492386149,0.3168611063592148,0.001
73,0.8441338539123535,0.8616282343864441,0.34960313726883985,0.3264112328640691,0.001
74,0.8458280563354492,0.8636602163314819,0.352088971151065,0.3187835648046405,0.001
75,0.8477340340614319,0.863135814666748,0.36150716616914513,0.32626506161114655,0.001
76,0.8538755178451538,0.864446759223938,0.34232316910273847,0.3181048652277327,0.001
77,0.860016942024231,0.8655610680580139,0.3401414145546311,0.318924672178842,0.001
78,0.8568403720855713,0.8597928881645203,0.3391687797586805,0.3245678839840749,0.001
79,0.8625582456588745,0.8637257814407349,0.3335283563860086,0.3220857217532837,0.001
80,0.8574756383895874,0.8635290861129761,0.3409453811457681,0.3235449388341936,0.001
81,0.8449809551239014,0.8687729239463806,0.35542921422144863,0.3148909984542302,0.001
82,0.8257094621658325,0.8605794310569763,0.4066852728020887,0.32507357699869815,0.001
83,0.8240152597427368,0.864250123500824,0.3933815129687248,0.31939714033924355,0.001
84,0.8297331929206848,0.8643812537193298,0.38143082479964063,0.3185652889932521,0.001
85,0.8551461696624756,0.8660199046134949,0.3473517273673815,0.3172782228084591,0.001
86,0.8358746767044067,0.8637257814407349,0.3911109862818348,0.3213101899613713,0.001
87,0.8574756383895874,0.8609727621078491,0.34493878833422564,0.32593197241917793,0.001
88,0.8519695401191711,0.8647745251655579,0.34497860936177377,0.31806147753739145,0.001
89,0.8218975067138672,0.8590062856674194,0.4003255763633531,0.3292666710073184,0.001
90,0.8496400117874146,0.863201379776001,0.3500975030981247,0.32255479432427575,0.001
91,0.8494282364845276,0.8614971041679382,0.3528011270160899,0.3236623069356422,0.001
92,0.8511224389076233,0.8664132356643677,0.35250442401552945,0.31774250532421816,0.001
93,0.8462516069412231,0.8609071969985962,0.34891748802293815,0.32956019152536026,0.001
94,0.8379923701286316,0.8651677966117859,0.365405607956735,0.3208711190284955,0.001
95,0.8504871129989624,0.8634635806083679,0.34539525390731635,0.31961412740432754,0.001
96,0.8447691798210144,0.8660199046134949,0.36268659983081164,0.32147199542158617,0.001
97,0.8377805948257446,0.8650367259979248,0.38983002109378134,0.31622699760662426,0.001
98,0.8542990684509277,0.8661510348320007,0.3485265448847245,0.31555792160711177,0.001
99,0.8420161008834839,0.8639224171638489,0.3663251914801088,0.3214658042860394,0.001
100,0.8420161008834839,0.8643812537193298,0.3617145045676609,0.32164178436839835,0.001
